Kp,Ki,Kd,Cost
1.5736,0.2500,1.0000,1000005.7336
1.5736,0.1250,0.0807,1000005.7338
1.5736,0.0000,0.4343,1000005.7349
1.5736,0.1250,0.7171,1000005.7350
1.5736,0.3750,0.2221,1000005.7364
1.5736,0.0000,0.7879,1000005.7368
1.5736,0.2500,0.5050,1000005.7418
1.5736,0.0000,0.2929,1000005.7429
1.5736,0.2500,0.8586,1000005.7430
1.5736,0.1250,0.5757,1000005.7438
1.5736,0.1250,0.9293,1000005.7446
1.5736,0.0000,0.6464,1000005.7452
1.5736,0.0000,1.0000,1000005.7460
1.5736,0.0000,0.0807,1000005.7536
1.4314,0.5000,0.8586,1000005.7632
1.4314,0.3750,0.9293,1000005.7641
1.4314,0.2500,1.0000,1000005.7650
1.5736,0.5000,0.0100,1000005.7680
1.4314,0.5000,0.7171,1000005.7714
1.4314,0.3750,0.7879,1000005.7727
1.5736,0.1250,0.0100,1000005.7783
1.4314,0.5000,0.5757,1000005.7799
1.4314,0.5000,0.2929,1000005.7800
1.4314,0.5000,0.9293,1000005.7813
1.4314,0.3750,1.0000,1000005.7822
1.4314,0.3750,0.7171,1000005.7854
1.5736,0.3750,0.0100,1000005.7867
1.4314,0.2500,0.6464,1000005.7894
1.4314,0.5000,0.7879,1000005.7899
1.4314,0.3750,0.5757,1000005.7907
1.4314,0.3750,0.8586,1000005.7912
1.4314,0.5000,0.5050,1000005.7915
1.4314,0.2500,0.9293,1000005.7922
1.4314,0.2500,0.5050,1000005.7944
1.4314,0.3750,0.4343,1000005.7951
1.5736,0.0000,0.0100,1000005.7965
1.4314,0.5000,0.6464,1000005.7981
1.4314,0.5000,1.0000,1000005.7993
1.4314,0.5000,0.3636,1000005.8000
1.4314,0.2500,0.3636,1000005.8006
1.4314,0.0000,1.0000,1000005.8019
1.4314,0.3750,0.2929,1000005.8029
1.4314,0.1250,0.2929,1000005.8031
1.4314,0.1250,0.9293,1000005.8033
1.4314,0.2500,0.8586,1000005.8045
1.5736,0.2500,0.0100,1000005.8053
1.4314,0.2500,0.1514,1000005.8055
1.4314,0.2500,0.2221,1000005.8055
1.4314,0.5000,0.1514,1000005.8056
1.4314,0.5000,0.2221,1000005.8056
1.4314,0.0000,0.8586,1000005.8075
1.4314,0.1250,0.7879,1000005.8086
1.4314,0.2500,0.7171,1000005.8096
1.4314,0.3750,0.6464,1000005.8105
1.4314,0.0000,0.7171,1000005.8124
1.4314,0.1250,0.6464,1000005.8134
1.4314,0.2500,0.5757,1000005.8148
1.4314,0.3750,0.5050,1000005.8156
1.4314,0.5000,0.4343,1000005.8163
1.4314,0.0000,0.5757,1000005.8174
1.4314,0.1250,0.5050,1000005.8183
1.4314,0.2500,0.4343,1000005.8191
1.4314,0.3750,0.0807,1000005.8202
1.4314,0.0000,0.4343,1000005.8214
1.4314,0.1250,1.0000,1000005.8229
1.4314,0.3750,0.3636,1000005.8230
1.4314,0.1250,0.3636,1000005.8234
1.4314,0.0000,0.2929,1000005.8256
1.4314,0.2500,0.2929,1000005.8257
1.4314,0.0000,0.9293,1000005.8275
1.4314,0.1250,0.1514,1000005.8277
1.4314,0.1250,0.2221,1000005.8277
1.4314,0.3750,0.1514,1000005.8283
1.4314,0.3750,0.2221,1000005.8283
1.4314,0.1250,0.8586,1000005.8287
1.4314,0.2500,0.7879,1000005.8297
1.4314,0.0000,0.7879,1000005.8326
1.4314,0.1250,0.7171,1000005.8337
1.4314,0.0000,0.6464,1000005.8374
1.4314,0.2500,0.0807,1000005.8379
1.4314,0.1250,0.5757,1000005.8388
1.4314,0.0000,0.5050,1000005.8421
1.4314,0.1250,0.4343,1000005.8430
1.4314,0.0000,0.3636,1000005.8460
1.4314,0.5000,0.0807,1000005.8475
1.4314,0.0000,0.1514,1000005.8499
1.4314,0.0000,0.2221,1000005.8499
1.4314,0.5000,0.0100,1000005.8532
1.4314,0.1250,0.0807,1000005.8556
1.4314,0.3750,0.0100,1000005.8691
1.4314,0.0000,0.0807,1000005.8731
1.4314,0.2500,0.0100,1000005.8847
1.4314,0.1250,0.0100,1000005.9001
1.2893,0.5000,0.2929,1000005.9104
1.2893,0.5000,0.9293,1000005.9113
1.2893,0.3750,0.8586,1000005.9135
1.4314,0.0000,0.0100,1000005.9154
1.2893,0.5000,0.7879,1000005.9157
1.2893,0.3750,0.7171,1000005.9174
1.2893,0.5000,0.6464,1000005.9195
1.2893,0.3750,0.5757,1000005.9215
1.2893,0.3750,0.0807,1000005.9223
1.2893,0.5000,0.5050,1000005.9235
1.2893,0.3750,0.4343,1000005.9246
1.2893,0.2500,0.3636,1000005.9277
1.2893,0.5000,0.3636,1000005.9310
1.2893,0.2500,0.1514,1000005.9311
1.2893,0.2500,0.2221,1000005.9311
1.2893,0.2500,1.0000,1000005.9312
1.2893,0.5000,1.0000,1000005.9313
1.2893,0.3750,0.2929,1000005.9313
1.2893,0.1250,0.9293,1000005.9334
1.2893,0.3750,0.9293,1000005.9338
1.2893,0.5000,0.1514,1000005.9352
1.2893,0.5000,0.2221,1000005.9352
1.2893,0.2500,0.8586,1000005.9359
1.2893,0.5000,0.8586,1000005.9363
1.2893,0.2500,0.0807,1000005.9370
1.2893,0.1250,0.7879,1000005.9374
1.2893,0.3750,0.7879,1000005.9381
1.2893,0.0000,0.7171,1000005.9388
1.2893,0.2500,0.7171,1000005.9397
1.2893,0.5000,0.7171,1000005.9403
1.2893,0.1250,0.6464,1000005.9410
1.2893,0.3750,0.6464,1000005.9419
1.2893,0.0000,0.5757,1000005.9424
1.2893,0.2500,0.5757,1000005.9436
1.2893,0.5000,0.5757,1000005.9445
1.2893,0.1250,0.5050,1000005.9446
1.2893,0.0000,0.4343,1000005.9452
1.2893,0.3750,0.5050,1000005.9457
1.2893,0.2500,0.4343,1000005.9467
1.2893,0.5000,0.4343,1000005.9477
1.2893,0.0000,0.2929,1000005.9481
1.2893,0.1250,0.3636,1000005.9485
1.2893,0.1250,0.1514,1000005.9514
1.2893,0.1250,0.2221,1000005.9514
1.2893,0.1250,0.0807,1000005.9517
1.2893,0.3750,0.3636,1000005.9521
1.2893,0.2500,0.2929,1000005.9522
1.2893,0.5000,0.0807,1000005.9527
1.2893,0.1250,1.0000,1000005.9536
1.2893,0.3750,1.0000,1000005.9540
1.2893,0.0000,0.9293,1000005.9557
1.2893,0.3750,0.1514,1000005.9558
1.2893,0.3750,0.2221,1000005.9558
1.2893,0.2500,0.9293,1000005.9563
1.2893,0.1250,0.8586,1000005.9582
1.2893,0.0000,0.7879,1000005.9596
1.2893,0.2500,0.7879,1000005.9605
1.2893,0.1250,0.7171,1000005.9619
1.2893,0.0000,0.6464,1000005.9631
1.2893,0.2500,0.6464,1000005.9642
1.2893,0.1250,0.5757,1000005.9657
1.2893,0.0000,0.0807,1000005.9660
1.2893,0.0000,0.5050,1000005.9664
1.2893,0.2500,0.5050,1000005.9679
1.2893,0.1250,0.4343,1000005.9686
1.2893,0.0000,0.3636,1000005.9691
1.2893,0.0000,0.1514,1000005.9717
1.2893,0.0000,0.2221,1000005.9717
1.2893,0.1250,0.2929,1000005.9728
1.2893,0.0000,1.0000,1000005.9760
1.2893,0.0000,0.8586,1000005.9804
1.2893,0.5000,0.0100,1000006.0037
1.2893,0.3750,0.0100,1000006.0107
1.2893,0.2500,0.0100,1000006.0170
1.2893,0.1250,0.0100,1000006.0228
1.1471,0.5000,0.6464,1000006.0277
1.2893,0.0000,0.0100,1000006.0283
1.1471,0.5000,0.5050,1000006.0308
1.1471,0.2500,0.2221,1000006.0345
1.1471,0.3750,0.2929,1000006.0360
1.1471,0.5000,0.3636,1000006.0378
1.1471,0.5000,0.1514,1000006.0405
1.1471,0.5000,1.0000,1000006.0416
1.1471,0.2500,0.8586,1000006.0418
1.1471,0.3750,0.9293,1000006.0420
1.1471,0.5000,0.2221,1000006.0421
1.1471,0.2500,0.7171,1000006.0448
1.1471,0.3750,0.7879,1000006.0454
1.1471,0.5000,0.8586,1000006.0457
1.1471,0.1250,0.5050,1000006.0467
1.1471,0.2500,0.5757,1000006.0479
1.1471,0.3750,0.6464,1000006.0483
1.1471,0.5000,0.7171,1000006.0488
1.1471,0.1250,0.3636,1000006.0499
1.1471,0.2500,0.4343,1000006.0502
1.1471,0.3750,0.5050,1000006.0513
1.1471,0.5000,0.5757,1000006.0522
1.1471,0.5000,0.4343,1000006.0546
1.1471,0.2500,0.2929,1000006.0550
1.1471,0.3750,0.3636,1000006.0571
1.1471,0.3750,0.1514,1000006.0586
1.1471,0.0000,0.9293,1000006.0586
1.1471,0.1250,1.0000,1000006.0587
1.1471,0.3750,0.2221,1000006.0610
1.1471,0.0000,0.7879,1000006.0616
1.1471,0.5000,0.2929,1000006.0621
1.1471,0.1250,0.8586,1000006.0623
1.1471,0.3750,1.0000,1000006.0625
1.1471,0.2500,0.9293,1000006.0627
1.1471,0.0000,0.6464,1000006.0643
1.1471,0.1250,0.7171,1000006.0653
1.1471,0.2500,0.7879,1000006.0660
1.1471,0.5000,0.9293,1000006.0664
1.1471,0.3750,0.8586,1000006.0664
1.1471,0.0000,0.5050,1000006.0668
1.1471,0.1250,0.5757,1000006.0682
1.1471,0.0000,0.3636,1000006.0687
1.1471,0.2500,0.6464,1000006.0688
1.1471,0.3750,0.7171,1000006.0695
1.1471,0.5000,0.7879,1000006.0700
1.1471,0.1250,0.4343,1000006.0704
1.1471,0.2500,0.5050,1000006.0717
1.1471,0.3750,0.5757,1000006.0728
1.1471,0.5000,0.0807,1000006.0737
1.1471,0.1250,0.2929,1000006.0738
1.1471,0.3750,0.4343,1000006.0751
1.1471,0.2500,0.3636,1000006.0762
1.1471,0.2500,0.1514,1000006.0766
1.1471,0.0000,1.0000,1000006.0792
1.1471,0.3750,0.0807,1000006.0806
1.1471,0.0000,0.8586,1000006.0828
1.1471,0.1250,0.1514,1000006.0829
1.1471,0.1250,0.9293,1000006.0833
1.1471,0.2500,1.0000,1000006.0833
1.1471,0.0000,0.7171,1000006.0856
1.1471,0.1250,0.7879,1000006.0865
1.1471,0.1250,0.2221,1000006.0872
